trip,block_id
2TK1D195r0,19-3
2TK1D196E0,19-1
2TK1D196Z0,19-2
2TK1D196v0,19-3
2TK1D197K0,19-1
2TK1D197i0,19-2
2TK1D19870,19-3
2TK1D198U0,19-1
2TK1D198r0,19-2
2TK1D199F0,19-3
2TK1D199b0,19-1
2TK1D199w0,19-2
2TK1D19AK0,19-3
2TK1D19Ag0,19-1
2TK1D19B30,19-2
2TK1D19BP0,19-3
2TK1D19Bl0,19-1
2TK1D19C80,19-2
2TK1D19CU0,19-3
2TK1D19Cq0,19-1
2TK1D19DD0,19-2
2TK1D19DZ0,19-3
2TK1D19Dv0,19-1
2TK1D19EJ0,19-2
2TK1D19Eg0,19-3
2TK1D19F40,19-1
2TK1D19FQ0,19-2
2TK1D19Fd0,19-7
2TK1D19Fp0,19-3
2TK1D19G30,19-8
2TK1D19GG0,19-1
2TK1D19GS0,19-6
2TK1D19Gf0,19-2
2TK1D19Gr0,19-7
2TK1D19H50,19-3
2TK1D19HH0,19-8
2TK1D19HT0,19-1
2TK1D19Hf0,19-6
2TK1D19Hq0,19-2
2TK1D19I30,8-47
2TK1D19IF0,19-3
2TK1D19IR0,13-7
2TK1D19Id0,19-1
2TK1D19Ix0,19-2
2TK1D19JJ0,19-3
2TK1D19Jd0,19-1
2TK1D19Jx0,19-2
2TK1D19KJ0,19-3
2TK1D19Kd0,19-1
2TK1D19L70,19-2
2TK1D19LZ0,19-1
2TK1D19M30,19-2
2TK1D19MV0,19-1
2TK1D19Mx0,19-2
2TK1D19NR0,19-1
2TK1D19Nt0,19-2
2TK1D19ON0,19-1
2TK1F55S0,5-6
2TK1F55e0,5-1
2TK1F55q0,5-5
2TK1F5620,5-8
2TK1F56B0,5-2
2TK1F56K0,5-4
2TK1F56U0,5-9
2TK1F56e0,5-10
2TK1F56o0,132-3
2TK1F5700,5-6
2TK1F57A0,5-1
2TK1F57K0,5-11
2TK1F57U0,5-8
2TK1F57e0,5-2
2TK1F57o0,5-4
2TK1F5800,5-9
2TK1F58A0,5-10
2TK1F58K0,132-3
2TK1F58U0,5-6
2TK1F58e0,5-1
2TK1F58o0,5-11
2TK1F5900,5-8
2TK1F59C0,5-2
2TK1F59O0,5-4
2TK1F59b0,5-3
2TK1F59o0,5-7
2TK1F5A30,5-6
2TK1F5AG0,5-1
2TK1F5AT0,5-8
2TK1F5Af0,5-2
2TK1F5As0,5-4
2TK1F5B70,5-3
2TK1F5BK0,5-7
2TK1F5BX0,5-6
2TK1F5Bk0,5-1
2TK1F5Bx0,5-8
2TK1F5CB0,5-2
2TK1F5CN0,5-4
2TK1F5Ca0,5-3
2TK1F5Cn0,5-7
2TK1F5D20,5-6
2TK1F5DF0,5-1
2TK1F5DS0,5-8
2TK1F5Df0,5-2
2TK1F5Ds0,5-4
2TK1F5E70,5-3
2TK1F5EK0,5-7
2TK1F5EX0,5-6
2TK1F5Ek0,5-1
2TK1F5F00,5-8
2TK1F5FE0,5-14
2TK1F5FO0,5-15
2TK1F5FX0,134-2
2TK1F5Fg0,2-22
2TK1F5Fq0,5-18
2TK1F5G20,5-19
2TK1F5GB0,5-16
2TK1F5GL0,5-17
2TK1F5GV0,5-1
2TK1F5Gf0,5-8
2TK1F5Gp0,5-14
2TK1F5H10,5-15
2TK1F5HA0,134-2
2TK1F5HK0,2-22
2TK1F5HU0,5-18
2TK1F5He0,5-19
2TK1F5Hn0,5-16
2TK1F5Hx0,5-17
2TK1F5I80,5-12
2TK1F5II0,5-8
2TK1F5IS0,5-14
2TK1F5Ic0,5-15
2TK1F5Im0,28-9
2TK1F5Iw0,2-5
2TK1F5J80,5-13
2TK1F5JJ0,132-3
2TK1F5JV0,5-17
2TK1F5Ji0,5-12
2TK1F5Jw0,5-14
2TK1F5KC0,10-4
2TK1F5KQ0,2-5
2TK1F5Ke0,5-13
2TK1F5Kt0,5-17
2TK1F5LA0,5-12
2TK1F5LO0,5-14
2TK1F5Lc0,10-4
2TK1F5Lq0,2-5
2TK1F5M60,5-13
2TK1F5ML0,5-17
2TK1F5Mn0,28-11
2TK1F5NG0,2-5
2TK1F5Ni0,5-17
2TK1F5OC0,28-11
2TK1F5Oe0,2-5
2TK1F5P80,5-17
2TK1F5Pc0,28-11
2TK1F85N0,8-7
2TK1F85d0,8-4
2TK1F85s0,8-3
2TK1F8690,8-9
2TK1F86L0,8-10
2TK1F86V0,8-14
2TK1F86e0,8-2
2TK1F86i0,8-21
2TK1F86m0,8-6
2TK1F86r0,8-24
2TK1F86v0,8-19
2TK1F8710,8-7
2TK1F8750,8-5
2TK1F8790,8-28
2TK1F87C0,8-23
2TK1F87G0,8-1
2TK1F87J0,8-25
2TK1F87N0,8-30
2TK1F87Q0,8-11
2TK1F87U0,8-31
2TK1F87X0,8-13
2TK1F87a0,8-18
2TK1F87d0,8-15
2TK1F87g0,8-8
2TK1F87j0,8-27
2TK1F87n0,8-22
2TK1F87q0,8-16
2TK1F87u0,8-20
2TK1F87x0,10-10
2TK1F8830,8-12
2TK1F8860,8-29
2TK1F88A0,8-33
2TK1F88D0,8-17
2TK1F88H0,8-26
2TK1F88K0,9-17
2TK1F88O0,8-14
2TK1F88R0,8-3
2TK1F88V0,1-17
2TK1F88Y0,12-2
2TK1F88b0,8-6
2TK1F88f0,8-9
2TK1F88j0,1-19
2TK1F88m0,13-3
2TK1F88q0,8-7
